"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,443.028476,0.665723,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,5.380393,0.093727,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,0.048745,0.005096,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntReverse","thrpt",1,20,4519.634051,17.779389,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntReverse","thrpt",1,20,50.162526,1.046579,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntReverse","thrpt",1,20,4.900680,0.273191,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,184.374527,5.641616,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,10.731649,0.259010,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,0.902463,0.025542,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongContains","thrpt",1,20,372.430052,0.289653,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongContains","thrpt",1,20,2.867329,0.005436,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongContains","thrpt",1,20,0.029296,0.003323,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongReverse","thrpt",1,20,4394.592930,3.394655,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongReverse","thrpt",1,20,51.233345,0.970225,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongReverse","thrpt",1,20,4.886931,0.273007,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,81.211434,10.057626,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,51.284533,10.512571,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,31.510729,2.841042,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,25.691918,1.849071,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,21.662340,1.699718,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,19.250949,0.951645,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,15.107640,1.319171,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,12.663292,0.735284,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,4.204813,1.072458,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,0.869545,0.864650,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,0.261240,0.121678,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,20.415625,0.586590,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,9.288260,0.089849,"ops/s",300000
