"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,1322.533960,7.635649,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,11.746574,0.034515,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,0.111288,0.000361,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntReverse","thrpt",1,20,14368.436101,199.450871,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntReverse","thrpt",1,20,1147.622552,11.185528,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntReverse","thrpt",1,20,99.489133,2.390160,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,196.835856,13.319338,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,13.671653,0.630201,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,1.377893,0.040930,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongContains","thrpt",1,20,1324.412127,3.479509,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongContains","thrpt",1,20,10.867263,0.065063,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongContains","thrpt",1,20,0.093105,0.000932,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongReverse","thrpt",1,20,10647.223241,236.654067,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongReverse","thrpt",1,20,764.923011,21.553101,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleLongReverse","thrpt",1,20,51.052095,0.863644,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,67.682044,10.624526,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,42.387379,5.732628,"ops/s",300000
